,h_1,W_1,L1_final,H1_final,L2_final,M1_final,cure_at_1500,M2_final,H2_final
99,0.45,0.15749999999999995,5773.392552641432,0.9999932526331634,5773.392552641432,12373.000182249672,1.0,12373.000182249672,0.9999932526331634
98,0.45,0.15924999999999995,5756.620422607082,0.9997391465006316,5756.620422607082,12335.972227863254,1.0,12335.972227863254,0.9997391465006316
94,0.45,0.16099999999999998,5741.192100210783,0.9999436561812142,5741.192100210783,12303.583901768929,1.0,12303.583901768929,0.9999436561812142
93,0.45,0.16274999999999998,5725.45879881254,0.9999913080013524,5725.45879881254,12269.870725044662,1.0,12269.870725044662,0.9999913080013524
95,0.45,0.16449999999999998,5708.529212863992,0.9995476438589509,5708.529212863992,12231.623435616591,1.0,12231.623435616591,0.9995476438589509
96,0.45,0.16624999999999998,5693.072759010163,0.9996140565623332,5693.072759010163,12198.483686698823,1.0,12198.483686698823,0.9996140565623332
89,0.45,0.16799999999999998,5678.130475864924,0.9998323558401434,5678.130475864924,12166.986911188578,1.0,12166.986911188578,0.9998323558401434
90,0.45,0.16974999999999998,5661.7075562720265,0.9994524202505114,5661.7075562720265,12129.952462759558,1.0,12129.952462759558,0.9994524202505114
91,0.45,0.1715,5646.666446324818,0.9995517551810827,5646.666446324818,12097.692416573127,1.0,12097.692416573127,0.9995517551810827
92,0.45,0.17325,5631.816587206147,0.9996832385817908,5631.816587206147,12065.920216734497,1.0,12065.920216734497,0.9996832385817908
6,0.4712121212121212,0.0,43630.89437415968,6721.48899365279,43630.89437415968,285205.8421391345,1.0,285205.8421391345,6721.48899365279
0,0.4712121212121212,0.0017499999999999998,43512.15304820286,6632.115403156197,43512.15304820286,284480.7609700366,1.0,284480.7609700366,6632.115403156197
12,0.4712121212121212,0.0035,43393.38227984182,6542.739005881532,43393.38227984182,283749.9262804637,1.0,283749.9262804637,6542.739005881532
1,0.4712121212121212,0.00525,43274.54055268678,6453.359609320434,43274.54055268678,283013.13871897355,1.0,283013.13871897355,6453.359609320434
15,0.4712121212121212,0.006999999999999999,43155.58615303357,6363.97699705202,43155.58615303357,282270.1911479565,1.0,282270.1911479565,6363.97699705202
11,0.4712121212121212,0.008749999999999999,43036.477076688396,6274.590924099196,43036.477076688396,281520.86815983127,1.0,281520.86815983127,6274.590924099196
9,0.4712121212121212,0.0105,42917.17093313315,6185.201111252082,42917.17093313315,280764.94555181096,1.0,280764.94555181096,6185.201111252082
4,0.4712121212121212,0.01225,42797.624846244194,6095.80723812304,42797.624846244194,280002.18975394,1.0,280002.18975394,6095.80723812304
14,0.4712121212121212,0.014,42677.79535068213,6006.408934644872,42677.79535068213,279232.3572041944,1.0,279232.3572041944,6006.408934644872
13,0.4712121212121212,0.01575,42557.63828294956,5917.005770659714,42557.63828294956,278455.1936632944,1.0,278455.1936632944,5917.005770659714
5,0.4712121212121212,0.017499999999999998,42437.108665964086,5827.597243166644,42437.108665964086,277670.433460513,1.0,277670.433460513,5827.597243166644
8,0.4712121212121212,0.01925,42316.160585807746,5738.182760701314,42316.160585807746,276877.7986600978,1.0,276877.7986600978,5738.182760701314
2,0.4712121212121212,0.021,42194.74705908262,5648.761624204686,42194.74705908262,276076.99813588464,1.0,276076.99813588464,5648.761624204686
7,0.4712121212121212,0.02275,42072.81988901967,5559.333003597491,42072.81988901967,275267.7265391802,1.0,275267.7265391802,5559.333003597491
10,0.4712121212121212,0.0245,41950.32950813399,5469.8959091075985,41950.32950813399,274449.6631419453,1.0,274449.6631419453,5469.8959091075985
3,0.4712121212121212,0.02625,41827.22480478689,5380.4491561927725,41827.22480478689,273622.4705335397,1.0,273622.4705335397,5380.4491561927725
17,0.4712121212121212,0.028,41703.452930480176,5290.991322655236,41703.452930480176,272785.7931446981,1.0,272785.7931446981,5290.991322655236
23,0.4712121212121212,0.02975,41578.95908404696,5201.520696248511,41578.95908404696,271939.25556670787,1.0,271939.25556670787,5201.520696248511
18,0.4712121212121212,0.0315,41453.68626808932,5112.035210724529,41453.68626808932,271082.4606267995,1.0,271082.4606267995,5112.035210724529
16,0.4712121212121212,0.033249999999999995,41327.57501200793,5022.532367845866,41327.57501200793,270214.9871721297,1.0,270214.9871721297,5022.532367845866
19,0.4712121212121212,0.035,41200.56305472978,4933.0091423883505,41200.56305472978,269336.38750416425,1.0,269336.38750416425,4933.0091423883505
25,0.4712121212121212,0.03675,41072.5849787109,4843.461866565664,41072.5849787109,268446.1843921762,1.0,268446.1843921762,4843.461866565664
24,0.4712121212121212,0.038499999999999986,40943.57178490802,4753.886089610013,40943.57178490802,267543.8675785097,1.0,267543.8675785097,4753.886089610013
21,0.4712121212121212,0.04025,40813.45039608942,4664.2764074265115,40813.45039608942,266628.8896684129,1.0,266628.8896684129,4664.2764074265115
20,0.4712121212121212,0.042,40682.14307299746,4574.626256289661,40682.14307299746,265700.6612728671,1.0,265700.6612728671,4574.626256289661
27,0.4712121212121212,0.04375,40549.56672435752,4484.927663457071,40549.56672435752,264758.5452428244,1.0,264758.5452428244,4484.927663457071
26,0.4712121212121212,0.0455,40415.63208740589,4395.170946329941,40415.63208740589,263801.8497964193,1.0,263801.8497964193,4395.170946329941
22,0.4712121212121212,0.047249999999999986,40280.24275030858,4305.344350388015,40280.24275030858,262829.8202955325,1.0,262829.8202955325,4305.344350388015
28,0.4712121212121212,0.049,40143.2939813494,4215.433614580539,40143.2939813494,261841.62937276246,1.0,261841.62937276246,4215.433614580539
29,0.4712121212121212,0.05075,40004.67132184088,4125.4214511879745,40004.67132184088,260836.36504235715,1.0,260836.36504235715,4125.4214511879745
31,0.4712121212121212,0.052499999999999984,39864.2488900564,4035.286925437908,39864.2488900564,259813.01634647176,1.0,259813.01634647176,4035.286925437908
30,0.4712121212121212,0.054249999999999986,39721.88733177746,3945.00471845603,39721.88733177746,258770.45598853426,1.0,258770.45598853426,3945.00471845603
39,0.4712121212121212,0.056,39577.4313389223,3854.5442556178523,39577.4313389223,257707.4192853909,1.0,257707.4192853909,3854.5442556178523
38,0.4712121212121212,0.05775,39430.706640778684,3763.8686812838287,39430.706640778684,256622.47862597613,1.0,256622.47862597613,3763.8686812838287
32,0.4712121212121212,0.0595,39281.51635220566,3672.9336606263014,39281.51635220566,255514.0124531945,1.0,255514.0124531945,3672.9336606263014
40,0.4712121212121212,0.061249999999999985,39129.636539431805,3581.685990351253,39129.636539431805,254380.16758456145,1.0,254380.16758456145,3581.685990351253
42,0.4712121212121212,0.063,38974.810836506615,3490.062003399404,38974.810836506615,253218.81345393465,1.0,253218.81345393465,3490.062003399404
46,0.4712121212121212,0.06474999999999999,38816.74391402965,3397.9857593545366,38816.74391402965,252027.48659143865,1.0,252027.48659143865,3397.9857593545366
45,0.4712121212121212,0.06649999999999999,38655.09356686213,3305.3670239495373,38655.09356686213,250803.32336505136,1.0,250803.32336505136,3305.3670239495373
43,0.4712121212121212,0.06824999999999999,38489.46115018863,3212.0990600334853,38489.46115018863,249542.97869501103,1.0,249542.97869501103,3212.0990600334853
33,0.4712121212121212,0.06999999999999999,38319.3800557141,3118.056281748519,38319.3800557141,248242.52814061762,1.0,248242.52814061762,3118.056281748519
34,0.4712121212121212,0.07175,38144.3018858385,3023.0918675343382,38144.3018858385,246897.35048251203,1.0,246897.35048251203,3023.0918675343382
35,0.4712121212121212,0.0735,37963.57995978689,2927.035491082079,37963.57995978689,245501.9877388524,1.0,245501.9877388524,2927.035491082079
36,0.4712121212121212,0.07525,37776.449782016265,2829.6914186411736,37776.449782016265,244049.9795498355,1.0,244049.9795498355,2829.6914186411736
37,0.4712121212121212,0.07699999999999999,37582.00613501045,2730.8373428207155,37582.00613501045,242533.66917527394,1.0,242533.66917527394,2730.8373428207155
